store_id,store_name,phone,email,street,city,state,zip_code
37,Martin PLC,(525) 565-6987,ramirezronnie@eample.com,9827 Mary Islands Apt. 048,Wallsburgh,Nevada,99829
38,Jenkins-Ramirez,(578) 265-3160,jordanjonathan@eample.com,3177 Alyssa Club,South Chadburgh,New Meico,45323
39,Pugh-Hughes,(973) 879-6067,lisa15@eample.com,998 Bishop View Apt. 683,New Amy,California,25122
40,Hernandez-Stewart,(655) 271-8675,michael21@eample.org,95238 Timothy Walk,Lindsayfort,New Hampshire,26910
41,Cannon Downs and Davis,(462) 227-6804,morancasey@eample.org,1550 Tanner Locks,Lake John,North Carolina,23569
42,Turner-Ferguson,(551) 379-2636,kpruitt@eample.net,0649 Dylan Camp Apt. 193,Jeffersonhaven,West Virginia,8329
43,Irwin Zavala and Howell,(494) 322-2690,debra75@eample.com,5626 Pamela Key Apt. 165,Amandamouth,Illinois,81070
44,Shaffer-Walker,(955) 638-1205,toddmichael@eample.com,7781 John Spur Apt. 004,Keithbury,North Carolina,51953
45,Jenkins Park and Evans,(878) 700-0000,joseph04@eample.net,73543 Sullivan Passage,Lake Lisa,Delaware,74677
46,Crosby-Boyle,(619) 291-8629,morachristine@eample.net,590 Richard Springs,West Tammy,Delaware,86071
47,Coleman-Davis,(854) 457-0000,john32@eample.net,350 Aguilar Parkways,Avilaview,West Virginia,28600
48,Aleander Ltd,(627) 715-4397,barbarareid@eample.com,55401 Davis Knolls Suite 559,Lake Amanda,Arkansas,61686
49,Savage Sullivan and Hughes,(793) 972-1989,jamesjulia@eample.org,2425 Brent Harbor Apt. 756,Huntland,Idaho,70630
50,Hoffman and Sons,(123) 456-7890,amorris@eample.net,74869 Doyle Hill Suite 888,Leeton,New Hampshire,22682
