order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
54,8568,Cancelled,1/6/2021,3/14/2019,1/6/2021,23,43
55,7468,Cancelled,5/7/2020,10/19/2022,5/7/2020,4,79
56,588,Shipped,4/18/2022,6/2/2021,4/18/2022,34,168
57,9952,Pending,1/17/2019,10/8/2019,1/17/2019,5,40
58,2216,Cancelled,7/6/2020,12/3/2019,7/6/2020,50,30
59,9210,Cancelled,7/15/2019,8/12/2018,7/15/2019,1,128
60,5235,Pending,5/24/2023,4/13/2021,5/24/2023,11,12
61,5224,Cancelled,11/11/2020,2/4/2018,11/11/2020,26,12
62,6090,Cancelled,11/22/2023,3/17/2020,11/22/2023,10,121
63,6500,Cancelled,6/30/2019,12/1/2022,6/30/2019,38,100
64,9787,Pending,6/17/2018,4/24/2020,6/17/2018,45,199
65,1388,Cancelled,11/11/2018,8/27/2021,11/11/2018,3,129
66,1011,Shipped,3/4/2019,11/13/2019,3/4/2019,44,129
67,3321,Pending,5/17/2022,3/18/2018,5/17/2022,40,163
68,1664,Shipped,12/15/2019,6/23/2018,12/15/2019,25,185
69,2284,Pending,5/4/2022,12/3/2022,5/4/2022,13,167
70,2684,Shipped,1/22/2022,1/29/2023,1/22/2022,34,64
71,3922,Shipped,12/8/2018,6/29/2020,12/8/2018,35,193
72,2703,Pending,5/19/2022,9/7/2021,5/19/2022,25,109
73,4856,Cancelled,11/20/2020,12/31/2022,11/20/2020,38,15
74,7991,Shipped,9/15/2023,8/4/2023,9/15/2023,39,28
75,8070,Pending,3/9/2021,11/14/2021,3/9/2021,12,92
76,4680,Cancelled,11/17/2020,4/28/2021,11/17/2020,13,3
77,3409,Cancelled,6/18/2021,7/16/2018,6/18/2021,4,183
78,2848,Pending,4/1/2019,5/6/2021,4/1/2019,12,117
79,3222,Shipped,11/3/2020,1/21/2020,11/3/2020,4,2
80,7156,Pending,5/30/2019,9/20/2019,5/30/2019,47,109
81,1056,Shipped,7/9/2019,4/10/2022,7/9/2019,24,144
82,3969,Pending,2/8/2018,8/7/2022,2/8/2018,15,63
83,6663,Shipped,12/16/2023,2/3/2018,12/16/2023,38,30
84,8055,Cancelled,7/19/2022,4/6/2021,7/19/2022,45,185
85,3850,Cancelled,1/25/2021,3/17/2018,1/25/2021,8,93
86,1727,Shipped,12/25/2018,4/8/2019,12/25/2018,22,124
87,8235,Pending,7/13/2019,12/27/2019,7/13/2019,12,165
88,2561,Cancelled,1/5/2018,10/11/2018,1/5/2018,37,134
89,9458,Cancelled,4/4/2021,3/14/2023,4/4/2021,22,114
90,1932,Shipped,9/23/2018,3/10/2018,9/23/2018,3,191
91,1038,Cancelled,6/25/2020,9/20/2023,6/25/2020,42,27
92,417,Cancelled,5/27/2021,8/2/2018,5/27/2021,10,200
93,1912,Shipped,9/21/2021,10/26/2019,9/21/2021,5,114
94,2356,Pending,5/10/2021,5/2/2019,5/10/2021,1,153
95,629,Cancelled,10/19/2021,10/17/2021,10/19/2021,44,16
96,9525,Pending,3/18/2021,10/4/2023,3/18/2021,34,35
97,8573,Shipped,3/17/2021,7/30/2018,3/17/2021,5,83
98,2401,Pending,5/24/2023,9/24/2022,5/24/2023,42,27
99,7353,Pending,4/21/2019,1/10/2020,4/21/2019,45,94
100,4635,Shipped,10/22/2018,4/20/2023,10/22/2018,33,23
101,129,Pending,4/11/2021,10/4/2021,4/11/2021,21,129
102,5530,Pending,7/6/2018,4/12/2023,7/6/2018,45,113
103,1053,Pending,5/23/2019,9/13/2021,5/23/2019,5,170
104,5399,Pending,11/8/2023,3/16/2018,11/8/2023,9,33
105,228,Shipped,8/16/2018,10/2/2023,8/16/2018,48,190
106,1527,Shipped,8/24/2018,5/24/2021,8/24/2018,28,4
107,367,Pending,7/23/2018,7/18/2018,7/23/2018,36,17
108,9964,Cancelled,3/10/2022,8/27/2023,3/10/2022,40,28
109,7480,Pending,11/28/2021,1/30/2020,11/28/2021,24,165
110,6811,Pending,7/12/2019,9/8/2023,7/12/2019,49,153
111,3396,Shipped,4/22/2021,5/4/2019,4/22/2021,19,76
112,7074,Shipped,3/24/2020,7/1/2022,3/24/2020,40,107
113,4064,Pending,9/3/2022,5/6/2021,9/3/2022,45,84
114,9031,Cancelled,8/18/2023,3/18/2018,8/18/2023,29,19
115,3527,Shipped,2/13/2023,7/25/2023,2/13/2023,48,123
116,6611,Cancelled,5/29/2021,6/30/2020,5/29/2021,26,172
117,8574,Shipped,9/20/2021,11/15/2022,9/20/2021,9,98
118,8501,Pending,1/26/2021,12/15/2019,1/26/2021,9,143
119,468,Pending,10/27/2020,2/28/2021,10/27/2020,15,97
120,8968,Pending,9/19/2018,6/7/2023,9/19/2018,30,85
121,6465,Cancelled,1/11/2023,11/2/2020,1/11/2023,5,197
122,2323,Pending,5/3/2022,9/28/2020,5/3/2022,7,195
123,6794,Shipped,9/13/2023,3/15/2019,9/13/2023,39,54
124,8688,Pending,9/25/2018,2/16/2019,9/25/2018,3,152
125,4210,Shipped,12/31/2020,8/9/2019,12/31/2020,20,46
126,7820,Shipped,7/16/2019,12/11/2022,7/16/2019,11,26
127,9561,Pending,6/24/2020,9/28/2021,6/24/2020,3,23
128,7229,Pending,9/29/2022,1/24/2021,9/29/2022,1,173
129,5012,Shipped,6/17/2020,8/29/2023,6/17/2020,33,155
130,5127,Pending,6/24/2018,7/23/2021,6/24/2018,14,102
131,125,Pending,3/2/2020,7/8/2018,3/2/2020,6,105
132,4011,Cancelled,6/27/2021,2/16/2020,6/27/2021,14,147
133,3867,Cancelled,6/10/2019,3/21/2018,6/10/2019,17,98
134,25,Shipped,1/1/2021,3/27/2021,1/1/2021,18,77
135,3299,Cancelled,7/2/2022,3/21/2023,7/2/2022,33,131
136,1547,Shipped,11/13/2018,10/15/2020,11/13/2018,35,18
137,1142,Cancelled,4/19/2020,10/16/2018,4/19/2020,34,172
138,3456,Pending,3/9/2019,5/16/2018,3/9/2019,38,78
139,4370,Cancelled,6/19/2019,3/20/2023,6/19/2019,17,55
140,3404,Shipped,10/30/2022,9/28/2023,10/30/2022,14,158
141,8243,Shipped,4/3/2018,7/24/2019,4/3/2018,49,198
142,8060,Cancelled,3/24/2018,12/1/2022,3/24/2018,41,63
143,8802,Cancelled,5/31/2018,2/27/2022,5/31/2018,29,55
144,3543,Pending,1/6/2019,2/8/2019,1/6/2019,17,175
145,8014,Cancelled,7/16/2019,8/10/2019,7/16/2019,48,124
146,3433,Shipped,4/5/2019,8/24/2021,4/5/2019,15,33
147,4980,Cancelled,8/9/2018,5/2/2018,8/9/2018,11,89
148,841,Cancelled,4/18/2022,4/30/2021,4/18/2022,33,170
149,8144,Shipped,8/5/2018,5/17/2019,8/5/2018,13,13
150,4288,Cancelled,7/23/2023,1/8/2023,7/23/2023,42,168
151,9732,Pending,6/10/2023,12/17/2021,6/10/2023,24,15
152,8980,Pending,5/18/2023,7/2/2018,5/18/2023,27,70
153,3513,Shipped,3/5/2022,2/20/2021,3/5/2022,19,84
154,466,Cancelled,7/18/2022,12/21/2020,7/18/2022,29,123
155,1930,Pending,3/1/2022,7/20/2018,3/1/2022,18,93
156,4713,Cancelled,3/6/2021,2/4/2020,3/6/2021,36,83
157,723,Cancelled,11/5/2023,6/10/2023,11/5/2023,17,196
158,56,Shipped,3/10/2023,11/2/2019,3/10/2023,1,168
159,2679,Cancelled,9/21/2022,2/27/2018,9/21/2022,41,90
160,9194,Pending,4/12/2023,4/5/2020,4/12/2023,3,49
161,3102,Shipped,3/13/2019,8/27/2021,3/13/2019,2,193
162,1362,Shipped,2/18/2022,8/21/2019,2/18/2022,48,119
163,352,Pending,9/6/2019,1/3/2018,9/6/2019,24,23
164,3916,Cancelled,11/27/2021,11/11/2022,11/27/2021,33,80
165,7923,Pending,5/14/2020,4/18/2022,5/14/2020,18,9
166,1053,Shipped,7/8/2021,2/20/2020,7/8/2021,27,85
167,3084,Pending,1/27/2022,7/20/2020,1/27/2022,6,21
168,8713,Cancelled,5/28/2021,11/1/2022,5/28/2021,36,156
169,8595,Pending,12/16/2019,4/21/2023,12/16/2019,46,184
170,1062,Pending,1/28/2022,1/5/2022,1/28/2022,16,137
171,4589,Shipped,8/25/2023,1/22/2021,8/25/2023,7,46
172,2607,Pending,9/14/2021,7/28/2022,9/14/2021,38,75
173,7672,Shipped,10/30/2021,11/21/2022,10/30/2021,42,172
174,4903,Cancelled,1/17/2022,1/3/2022,1/17/2022,39,86
175,2367,Pending,4/25/2023,12/23/2022,4/25/2023,32,31
176,1214,Cancelled,2/3/2020,3/11/2023,2/3/2020,37,131
177,3319,Pending,3/30/2018,1/7/2021,3/30/2018,8,183
178,4725,Cancelled,3/24/2020,8/26/2021,3/24/2020,15,49
179,6810,Cancelled,7/6/2023,1/29/2021,7/6/2023,37,18
180,7475,Pending,2/4/2022,2/26/2020,2/4/2022,19,7
181,1610,Cancelled,5/27/2020,8/14/2022,5/27/2020,6,136
182,3139,Cancelled,6/30/2019,12/21/2021,6/30/2019,25,82
183,5521,Cancelled,9/25/2021,3/4/2023,9/25/2021,20,43
184,3665,Pending,11/2/2023,8/20/2021,11/2/2023,43,59
185,2191,Pending,8/19/2021,1/12/2021,8/19/2021,30,64
186,1691,Cancelled,6/1/2022,6/30/2020,6/1/2022,43,91
187,4698,Cancelled,6/6/2020,6/9/2022,6/6/2020,38,78
188,6131,Pending,3/22/2019,6/10/2023,3/22/2019,36,133
189,42,Shipped,10/10/2018,10/18/2019,10/10/2018,38,82
190,2987,Shipped,8/13/2019,2/2/2019,8/13/2019,42,51
191,7251,Pending,8/29/2022,5/29/2021,8/29/2022,28,104
192,8099,Cancelled,11/7/2020,10/11/2018,11/7/2020,29,41
193,9355,Pending,7/21/2021,9/3/2022,7/21/2021,26,185
194,485,Pending,1/23/2019,5/8/2023,1/23/2019,19,129
195,331,Cancelled,10/27/2020,12/5/2018,10/27/2020,43,137
196,3608,Shipped,2/19/2019,6/21/2019,2/19/2019,40,83
197,590,Shipped,6/6/2023,3/16/2022,6/6/2023,11,172
198,283,Pending,8/25/2019,2/13/2018,8/25/2019,26,159
199,4073,Shipped,1/5/2020,7/1/2018,1/5/2020,36,178
200,1357,Pending,11/8/2021,11/6/2019,11/8/2021,29,35
201,5380,Pending,10/21/2022,11/23/2018,10/21/2022,37,41
202,9372,Cancelled,9/13/2020,7/16/2021,9/13/2020,4,100
203,8437,Cancelled,4/4/2020,8/25/2021,4/4/2020,23,193
204,5957,Shipped,12/21/2020,10/24/2022,12/21/2020,2,92
205,7682,Shipped,1/26/2022,7/29/2021,1/26/2022,21,94
206,12,Pending,11/4/2019,9/22/2019,11/4/2019,6,161
207,2585,Pending,12/15/2021,1/9/2018,12/15/2021,43,14
208,824,Shipped,4/7/2020,9/29/2018,4/7/2020,34,59
209,5999,Cancelled,10/17/2022,9/3/2020,10/17/2022,19,104
210,7660,Cancelled,10/3/2020,5/26/2022,10/3/2020,19,31
211,8059,Shipped,12/26/2018,1/14/2022,12/26/2018,23,3
212,2093,Shipped,11/11/2018,9/1/2020,11/11/2018,31,144
213,1529,Pending,9/5/2018,7/3/2018,9/5/2018,3,66
214,3180,Pending,8/24/2023,12/31/2021,8/24/2023,26,162
215,8053,Pending,9/14/2021,10/4/2023,9/14/2021,48,48
216,2943,Shipped,8/22/2021,7/24/2019,8/22/2021,21,199
217,1687,Pending,6/28/2023,8/3/2018,6/28/2023,7,105
218,2537,Pending,1/20/2023,6/7/2023,1/20/2023,32,15
219,3933,Shipped,6/15/2023,12/10/2022,6/15/2023,45,91
220,9188,Shipped,6/10/2023,10/10/2020,6/10/2023,40,104
221,8113,Pending,11/16/2022,10/4/2020,11/16/2022,7,190
222,5818,Cancelled,5/1/2021,8/17/2023,5/1/2021,38,112
223,9120,Cancelled,3/20/2019,1/17/2023,3/20/2019,5,143
224,1654,Pending,9/28/2018,8/19/2022,9/28/2018,33,80
225,4982,Cancelled,1/13/2022,7/3/2019,1/13/2022,47,194
226,7437,Shipped,5/29/2023,4/12/2020,5/29/2023,20,149
227,921,Pending,11/24/2022,12/9/2020,11/24/2022,7,88
228,9569,Cancelled,10/28/2018,1/23/2020,10/28/2018,42,100
229,1296,Shipped,4/17/2020,7/21/2019,4/17/2020,46,68
230,7403,Shipped,3/11/2018,1/18/2018,3/11/2018,45,166
231,6308,Pending,12/3/2022,9/8/2023,12/3/2022,1,116
232,7256,Pending,3/10/2022,4/4/2018,3/10/2022,33,134
233,4564,Cancelled,8/6/2019,1/11/2020,8/6/2019,29,63
234,243,Shipped,5/2/2018,7/17/2020,5/2/2018,38,119
235,4457,Shipped,10/14/2022,3/26/2019,10/14/2022,31,124
236,6096,Shipped,7/13/2021,6/14/2021,7/13/2021,9,31
237,6343,Shipped,11/25/2022,6/2/2023,11/25/2022,27,94
238,4176,Pending,3/10/2020,10/17/2018,3/10/2020,27,72
239,5608,Cancelled,5/18/2020,1/2/2021,5/18/2020,20,181
240,9464,Pending,8/18/2018,12/4/2018,8/18/2018,35,122
241,7295,Cancelled,3/13/2022,4/1/2021,3/13/2022,32,147
242,3820,Shipped,5/3/2021,3/26/2022,5/3/2021,33,7
243,822,Pending,1/21/2019,3/12/2020,1/21/2019,15,121
244,6614,Pending,1/13/2021,12/19/2021,1/13/2021,3,36
245,8096,Cancelled,10/17/2023,11/23/2023,10/17/2023,4,195
246,8072,Shipped,5/19/2019,7/5/2018,5/19/2019,10,130
247,7051,Cancelled,12/27/2022,8/2/2019,12/27/2022,16,177
248,5728,Cancelled,2/26/2019,11/4/2023,2/26/2019,8,190
249,4394,Cancelled,12/6/2019,9/2/2019,12/6/2019,20,6
250,2585,Shipped,4/26/2023,3/1/2019,4/26/2023,39,176
251,8815,Cancelled,6/4/2021,2/13/2022,6/4/2021,32,103
252,8290,Pending,6/15/2021,3/21/2020,6/15/2021,35,31
253,3592,Shipped,10/25/2023,7/4/2023,10/25/2023,28,171
254,8828,Shipped,7/16/2018,12/11/2022,7/16/2018,8,3
255,3514,Shipped,7/27/2021,9/2/2022,7/27/2021,45,146
256,498,Shipped,7/25/2020,2/22/2022,7/25/2020,19,67
257,4238,Shipped,2/2/2021,9/29/2020,2/2/2021,4,167
258,7860,Shipped,8/18/2018,8/14/2019,8/18/2018,25,103
259,8809,Cancelled,5/26/2021,8/12/2020,5/26/2021,40,10
260,7738,Pending,2/27/2021,8/30/2023,2/27/2021,41,68
261,4868,Cancelled,1/28/2019,5/19/2022,1/28/2019,25,101
262,8783,Shipped,8/7/2023,1/5/2018,8/7/2023,24,148
263,5122,Shipped,4/15/2022,1/2/2019,4/15/2022,30,26
264,2889,Cancelled,8/2/2019,1/21/2022,8/2/2019,19,78
265,2715,Shipped,7/4/2021,3/6/2020,7/4/2021,29,117
266,9986,Pending,5/27/2020,12/10/2020,5/27/2020,15,156
267,7690,Shipped,1/30/2023,2/6/2021,1/30/2023,14,188
268,962,Pending,3/27/2022,4/6/2019,3/27/2022,15,21
269,1800,Cancelled,2/11/2019,2/10/2023,2/11/2019,42,143
270,2260,Cancelled,11/18/2023,12/2/2022,11/18/2023,35,179
271,2094,Pending,12/13/2019,10/9/2020,12/13/2019,43,175
272,9189,Cancelled,12/11/2022,4/20/2018,12/11/2022,33,90
273,9738,Shipped,9/15/2023,11/16/2020,9/15/2023,31,94
274,410,Pending,8/26/2021,3/12/2020,8/26/2021,46,49
275,4915,Cancelled,10/14/2021,1/31/2021,10/14/2021,7,167
276,3478,Shipped,8/10/2020,2/28/2020,8/10/2020,2,64
277,35,Pending,4/22/2018,6/19/2020,4/22/2018,28,25
278,3803,Shipped,6/13/2022,8/26/2022,6/13/2022,43,13
279,4707,Shipped,1/31/2020,8/24/2021,1/31/2020,22,28
280,555,Cancelled,2/25/2021,8/5/2021,2/25/2021,29,49
281,2908,Cancelled,2/26/2018,10/25/2020,2/26/2018,13,160
282,9472,Cancelled,4/9/2019,5/2/2021,4/9/2019,25,165
283,4377,Shipped,2/27/2019,1/6/2018,2/27/2019,20,147
284,3052,Shipped,4/17/2020,3/16/2018,4/17/2020,35,158
285,3767,Pending,8/24/2019,8/3/2019,8/24/2019,29,56
286,8045,Cancelled,1/21/2019,3/17/2020,1/21/2019,47,139
287,389,Pending,5/2/2020,11/6/2018,5/2/2020,1,81
288,5495,Cancelled,2/27/2020,4/9/2023,2/27/2020,12,150
289,4913,Pending,4/3/2018,1/2/2019,4/3/2018,30,198
290,7719,Cancelled,1/5/2018,7/12/2021,1/5/2018,26,68
291,8750,Pending,9/9/2018,10/9/2018,9/9/2018,1,31
292,922,Cancelled,10/26/2019,6/4/2020,10/26/2019,16,132
293,3137,Cancelled,3/15/2018,11/4/2020,3/15/2018,2,7
294,7443,Cancelled,4/6/2018,9/11/2023,4/6/2018,9,114
295,1522,Shipped,5/17/2020,2/21/2018,5/17/2020,34,179
296,7976,Pending,2/15/2018,6/8/2020,2/15/2018,45,122
297,9435,Shipped,10/5/2018,8/3/2021,10/5/2018,13,47
298,8213,Cancelled,3/3/2020,3/16/2023,3/3/2020,42,169
299,4400,Cancelled,5/28/2020,10/27/2019,5/28/2020,21,11
300,859,Shipped,5/28/2020,1/21/2020,5/28/2020,36,53
301,7538,Shipped,1/11/2019,7/23/2020,1/11/2019,29,176
302,4183,Cancelled,7/10/2021,11/9/2018,7/10/2021,23,90
303,3856,Pending,7/8/2022,5/3/2023,7/8/2022,8,138
304,740,Pending,8/13/2023,5/29/2018,8/13/2023,11,57
305,2466,Pending,1/19/2018,2/14/2020,1/19/2018,18,158
306,684,Shipped,7/3/2020,4/29/2021,7/3/2020,42,167
307,2418,Pending,9/25/2021,2/18/2020,9/25/2021,49,140
308,679,Shipped,10/21/2021,11/4/2020,10/21/2021,23,64
309,4354,Cancelled,1/7/2021,12/2/2020,1/7/2021,34,136
310,2085,Pending,12/16/2023,2/11/2021,12/16/2023,25,64
311,5936,Shipped,3/9/2022,5/21/2021,3/9/2022,12,178
312,145,Pending,8/11/2018,12/19/2018,8/11/2018,22,24
313,325,Cancelled,3/15/2018,4/29/2019,3/15/2018,39,11
314,2518,Shipped,3/8/2022,2/18/2020,3/8/2022,1,103
315,9796,Shipped,12/18/2019,3/25/2022,12/18/2019,19,86
316,5854,Pending,3/7/2022,6/8/2021,3/7/2022,26,24
317,8696,Cancelled,6/4/2023,10/16/2018,6/4/2023,32,100
318,2429,Pending,4/24/2019,7/18/2019,4/24/2019,6,93
319,3051,Shipped,10/30/2022,7/24/2018,10/30/2022,25,104
320,9493,Cancelled,2/28/2019,5/26/2018,2/28/2019,18,200
321,3344,Shipped,1/8/2023,5/22/2018,1/8/2023,6,51
322,8234,Pending,4/1/2020,10/14/2021,4/1/2020,49,181
323,1843,Cancelled,3/10/2023,2/3/2020,3/10/2023,26,114
324,7767,Shipped,9/23/2019,12/27/2019,9/23/2019,23,119
325,1467,Pending,6/28/2019,11/27/2021,6/28/2019,42,93
326,6826,Cancelled,3/16/2018,10/14/2022,3/16/2018,48,70
327,5435,Pending,12/6/2018,6/30/2020,12/6/2018,26,49
328,8745,Shipped,1/31/2018,2/3/2019,1/31/2018,11,67
329,7255,Pending,10/9/2018,6/13/2019,10/9/2018,50,130
330,6788,Cancelled,7/23/2021,9/16/2019,7/23/2021,16,147
331,8297,Pending,8/1/2019,6/28/2019,8/1/2019,41,148
332,9384,Shipped,8/25/2019,4/14/2022,8/25/2019,39,26
333,2897,Pending,7/18/2023,2/19/2023,7/18/2023,47,89
334,6523,Shipped,6/28/2023,5/28/2018,6/28/2023,9,136
335,6574,Shipped,5/18/2022,1/31/2023,5/18/2022,2,4
336,9767,Cancelled,4/19/2020,1/18/2022,4/19/2020,50,20
337,23,Pending,6/2/2019,7/17/2023,6/2/2019,43,169
338,3074,Cancelled,1/27/2020,12/2/2022,1/27/2020,34,40
339,1299,Shipped,6/18/2022,3/6/2023,6/18/2022,3,102
340,2679,Pending,7/18/2022,4/4/2022,7/18/2022,4,70
341,2979,Pending,6/5/2021,2/7/2018,6/5/2021,47,159
342,1551,Cancelled,11/27/2023,5/18/2022,11/27/2023,38,69
343,8224,Cancelled,12/24/2018,5/10/2019,12/24/2018,12,127
344,6448,Cancelled,2/2/2021,2/7/2020,2/2/2021,18,71
345,8298,Cancelled,10/18/2020,8/20/2019,10/18/2020,48,125
346,7870,Shipped,12/3/2020,11/15/2018,12/3/2020,26,100
347,842,Shipped,3/13/2023,10/1/2022,3/13/2023,18,142
348,9728,Pending,5/2/2022,9/16/2020,5/2/2022,5,41
349,6313,Cancelled,9/4/2022,7/26/2022,9/4/2022,24,180
350,6362,Pending,11/29/2021,6/1/2021,11/29/2021,17,6
351,8417,Pending,10/3/2023,8/26/2018,10/3/2023,3,12
352,9649,Pending,11/3/2023,4/24/2021,11/3/2023,29,173
353,3832,Cancelled,8/24/2018,5/5/2021,8/24/2018,34,187
354,5989,Shipped,8/8/2019,5/23/2018,8/8/2019,27,98
355,7044,Cancelled,9/7/2018,4/11/2023,9/7/2018,12,114
356,244,Shipped,3/31/2021,1/25/2018,3/31/2021,39,163
357,4223,Pending,8/12/2019,3/6/2023,8/12/2019,28,46
358,5784,Pending,11/14/2021,11/23/2020,11/14/2021,49,133
359,4301,Pending,1/20/2018,9/17/2022,1/20/2018,1,197
360,6052,Pending,12/12/2020,2/19/2022,12/12/2020,39,43
361,915,Pending,9/12/2023,1/22/2020,9/12/2023,46,26
362,5545,Pending,7/4/2023,5/4/2022,7/4/2023,4,22
363,6689,Pending,10/14/2020,8/19/2023,10/14/2020,38,47
364,5372,Pending,10/9/2021,8/15/2021,10/9/2021,25,172
365,6339,Cancelled,8/29/2021,9/8/2018,8/29/2021,10,178
366,9955,Pending,12/27/2022,11/17/2021,12/27/2022,13,107
367,2938,Cancelled,12/24/2020,1/24/2020,12/24/2020,17,146
368,7420,Pending,11/26/2021,6/11/2020,11/26/2021,41,200
369,7909,Pending,11/4/2018,11/18/2021,11/4/2018,38,46
370,8878,Shipped,6/12/2021,8/1/2021,6/12/2021,49,75
371,2602,Shipped,5/3/2022,1/4/2023,5/3/2022,13,28
372,3756,Cancelled,11/20/2023,10/12/2022,11/20/2023,42,81
373,978,Pending,7/13/2023,5/13/2021,7/13/2023,36,183
374,7914,Shipped,2/3/2018,1/4/2021,2/3/2018,46,37
375,6357,Shipped,8/27/2018,1/15/2019,8/27/2018,37,35
376,4123,Cancelled,3/28/2020,2/15/2021,3/28/2020,8,33
377,3260,Cancelled,5/20/2018,2/26/2022,5/20/2018,15,116
378,9309,Pending,8/20/2020,5/25/2022,8/20/2020,48,122
379,534,Shipped,2/3/2021,8/16/2020,2/3/2021,37,128
380,4260,Cancelled,6/4/2022,9/13/2020,6/4/2022,37,126
381,1494,Shipped,8/2/2021,1/31/2020,8/2/2021,1,79
382,4594,Shipped,6/5/2018,11/7/2021,6/5/2018,17,62
383,4969,Cancelled,8/1/2022,2/12/2018,8/1/2022,36,92
384,2251,Pending,6/14/2022,7/3/2022,6/14/2022,48,188
385,1379,Shipped,2/21/2022,8/6/2022,2/21/2022,39,83
386,5282,Pending,5/28/2018,1/15/2023,5/28/2018,20,66
387,8219,Shipped,4/20/2023,11/20/2020,4/20/2023,24,179
388,3628,Pending,3/11/2021,1/24/2019,3/11/2021,7,20
389,5396,Shipped,9/11/2019,3/24/2023,9/11/2019,18,177
390,3464,Cancelled,11/28/2019,10/22/2019,11/28/2019,26,152
391,4070,Cancelled,2/2/2021,12/25/2018,2/2/2021,4,2
392,5856,Shipped,12/8/2021,4/16/2018,12/8/2021,46,124
393,7549,Pending,4/5/2020,6/1/2023,4/5/2020,11,48
394,8394,Cancelled,6/15/2020,6/14/2019,6/15/2020,19,137
395,6201,Shipped,9/9/2019,6/13/2021,9/9/2019,7,153
396,4500,Pending,4/15/2018,10/11/2022,4/15/2018,28,29
397,2704,Cancelled,2/25/2020,2/18/2021,2/25/2020,45,41
398,5734,Pending,8/30/2019,10/24/2021,8/30/2019,37,99
399,3872,Pending,7/16/2021,3/13/2019,7/16/2021,31,74
400,7743,Cancelled,9/18/2020,8/29/2019,9/18/2020,27,154
